intern_id,intern_name,task_completion_rate,avg_task_completion_time,attendance_percentage,feedback_rating,deadlines_missed,github_commits,communication_score,learning_speed,meeting_participation,work_hours_per_day,stress_level,final_performance_score,performance_category
1,Wendy Brown,78,12.15,64,3.9,4,102,10,3,7,2.6,8,30.35,Needs Improvement
2,Elijah Mooney,42,1.29,51,3.9,5,191,5,1,10,7.2,9,40.57,Needs Improvement
3,Tina Cox,88,8.35,91,1.2,2,54,4,9,3,10.6,7,52.47,Needs Improvement
4,Chelsea Watson,92,4.23,77,2.8,6,263,3,1,4,3.8,4,52.36,Needs Improvement
5,Elaine Rogers,41,6.95,91,3.3,1,217,2,10,4,8.0,8,58.39,Needs Improvement
6,Anthony Jones,79,12.82,94,2.1,4,279,10,9,9,5.0,1,74.3,Average
7,Angela Hayes,64,14.82,73,2.6,7,62,3,1,8,9.3,1,35.43,Needs Improvement
8,Kevin Delgado,97,2.62,56,4.4,1,32,7,7,8,8.7,8,72.45,Average
9,Brandon Smith,61,13.42,50,2.5,2,256,5,10,7,9.7,7,46.3,Needs Improvement
10,Barry Hunter,90,1.44,88,2.9,3,221,5,7,7,6.1,4,67.78,Average
11,Patrick Sims,52,2.08,100,1.6,1,169,9,5,6,6.6,4,64.6,Average
12,Tasha Sherman,97,2.71,74,2.3,0,282,9,4,9,5.0,6,76.93,Average
13,Bridget Lindsey,47,8.48,86,3.8,9,171,8,6,8,9.0,1,53.55,Needs Improvement
14,Sean George,51,4.52,51,3.8,4,112,8,1,1,11.8,6,51.07,Needs Improvement
15,Robin Jordan,62,4.9,82,3.5,1,52,10,6,7,8.7,8,67.14,Average
16,Brian Olson,63,7.58,83,3.5,10,239,1,9,6,9.0,3,44.9,Needs Improvement
17,Regina Cortez,59,5.56,85,1.1,2,146,4,7,4,11.4,8,55.58,Needs Improvement
18,Mr. Ricardo Thompson MD,40,10.46,74,1.8,9,98,7,10,9,7.2,1,35.17,Needs Improvement
19,Amy Rodriguez,41,14.95,61,3.2,10,8,9,3,3,9.3,3,19.26,Needs Improvement
20,William Simmons,72,9.99,60,4.7,3,103,4,3,9,8.6,2,62.27,Average
21,Steven Pearson,85,8.68,84,3.6,8,160,4,1,5,3.8,8,36.68,Needs Improvement
22,Nancy Martinez,56,5.31,97,1.4,2,21,6,6,3,10.9,2,62.1,Average
23,Christina Meyer,60,8.04,77,3.7,0,146,4,3,1,2.4,5,44.44,Needs Improvement
24,Monica Yang,76,14.0,98,3.2,2,187,1,4,5,3.9,1,48.97,Needs Improvement
25,Melanie Butler,42,3.37,74,2.6,5,57,3,8,8,4.1,6,30.22,Needs Improvement
26,Bryce Martinez,81,13.28,66,4.4,8,298,6,7,10,10.1,3,55.01,Needs Improvement
27,Christopher Vasquez,89,13.14,62,1.3,6,35,4,1,8,9.0,3,26.04,Needs Improvement
28,Christine Bell,41,7.14,71,2.3,9,62,6,10,10,2.3,4,19.1,Needs Improvement
29,Scott Young,81,12.52,92,1.5,0,263,5,5,7,2.9,4,56.26,Needs Improvement
30,Steven Carroll,79,11.17,62,4.9,9,157,3,1,8,4.7,10,20.93,Needs Improvement
31,Debra Johnson,94,4.51,75,4.9,6,126,9,5,1,3.7,1,56.19,Needs Improvement
32,John Knox,93,11.0,89,4.7,0,271,7,5,6,9.3,3,79.77,Average
33,David Garrett,51,8.92,100,4.0,8,284,5,1,4,3.8,10,32.93,Needs Improvement
34,Lauren Russell DVM,75,3.42,79,3.6,9,9,6,5,4,2.5,10,32.12,Needs Improvement
35,Katherine Wolfe,97,14.07,81,4.4,4,3,8,7,2,2.3,4,34.16,Needs Improvement
36,David Mcguire,99,2.8,100,4.3,2,64,1,8,10,4.1,2,81.49,Excellent
37,Justin Sanders,100,2.32,84,2.3,9,263,10,10,10,5.4,3,66.48,Average
38,Roger Young,92,5.88,60,4.5,3,216,5,9,4,3.8,9,53.7,Needs Improvement
39,Brittany Carroll,63,12.3,98,3.9,3,95,8,7,5,4.4,7,49.59,Needs Improvement
40,Nicole Anderson,80,6.29,98,3.0,8,186,3,1,4,2.1,9,33.13,Needs Improvement
41,Cameron Mcpherson,58,2.28,56,4.8,3,143,5,5,3,8.0,4,67.54,Average
42,Connie Howard,62,11.94,88,1.4,9,185,7,10,5,9.4,2,48.21,Needs Improvement
43,Darryl Hernandez,86,3.0,59,4.3,0,252,6,7,8,2.7,2,65.89,Average
44,Julia Hamilton,47,6.24,50,4.5,0,216,4,4,6,9.1,3,62.69,Average
45,Brian Perez,100,6.29,88,2.7,9,18,7,3,2,6.7,10,40.22,Needs Improvement
46,Paul Daniels,80,11.42,52,3.3,8,190,1,9,8,7.3,5,41.75,Needs Improvement
47,Angela Cole,45,12.23,94,4.9,4,79,6,5,5,4.5,3,44.06,Needs Improvement
48,Bethany Day,80,4.04,64,2.8,4,53,6,3,7,2.5,10,36.7,Needs Improvement
49,Jacob Singleton,71,1.81,87,2.8,4,7,10,4,10,5.9,2,59.68,Needs Improvement
50,Jared Chavez,75,14.81,66,2.1,4,211,3,6,2,6.2,5,25.38,Needs Improvement
51,Michael Zhang,86,13.87,59,4.7,1,250,5,7,8,5.8,1,65.43,Average
52,Emily Johnson,50,9.32,74,4.9,10,176,1,2,9,6.1,1,36.92,Needs Improvement
53,Ronald Garcia,60,1.79,55,3.8,4,132,6,3,5,7.9,5,53.15,Needs Improvement
54,Danny Hendricks,85,4.52,94,3.4,0,287,2,8,7,8.7,2,76.34,Average
55,Regina Hall,93,11.81,99,4.4,5,235,5,9,1,3.3,7,54.6,Needs Improvement
56,James Shaw,41,12.27,88,1.5,1,293,2,2,2,5.9,3,42.35,Needs Improvement
57,Robert Roberson,73,5.88,87,2.8,6,105,3,1,5,10.0,10,40.96,Needs Improvement
58,Rebecca Collins,99,1.93,54,4.9,4,204,3,9,7,3.3,6,68.14,Average
59,Angela Lopez,55,9.97,89,3.8,8,194,3,2,10,4.2,5,30.51,Needs Improvement
60,Paige Holmes,100,1.45,55,1.5,8,11,10,2,1,7.0,9,33.23,Needs Improvement
61,Kathryn Norris,65,12.19,71,1.3,10,47,1,10,4,10.1,1,31.52,Needs Improvement
62,Adam Hamilton,86,6.19,71,1.9,6,77,8,2,10,2.4,8,32.56,Needs Improvement
63,David Smith,90,10.99,96,4.4,10,238,2,10,6,7.3,9,42.99,Needs Improvement
64,Brendan Hughes,78,5.51,88,1.4,8,144,4,9,4,5.6,9,38.82,Needs Improvement
65,Tammy Smith,84,7.71,85,3.1,1,110,8,8,1,7.6,10,52.82,Needs Improvement
66,Brittany Daniel,65,9.51,94,2.3,8,288,5,6,5,3.5,7,26.67,Needs Improvement
67,Michael West,87,3.25,60,1.4,7,136,7,3,3,2.2,5,35.36,Needs Improvement
68,Gregory Johnson,43,1.07,98,3.0,5,61,9,2,8,6.8,5,53.45,Needs Improvement
69,Nathaniel Gill,45,14.55,53,2.7,0,19,1,1,10,9.7,6,23.16,Needs Improvement
70,Danielle Morris,75,5.49,52,1.2,1,9,5,7,10,11.9,8,54.15,Needs Improvement
71,Sherry Taylor,41,2.23,86,1.0,8,37,7,3,1,10.5,2,43.69,Needs Improvement
72,Travis Clark,48,3.87,84,1.3,7,59,8,9,5,4.0,3,36.14,Needs Improvement
73,Danielle Reed,60,3.61,68,3.7,9,61,4,9,10,5.9,8,48.68,Needs Improvement
74,Kimberly Ortega,71,7.48,87,3.2,0,152,1,1,7,7.3,5,52.4,Needs Improvement
75,Christina Stephens,79,4.21,88,1.5,5,66,7,3,8,8.9,4,57.58,Needs Improvement
76,Cynthia Klein,91,11.38,76,4.2,5,96,5,7,1,2.3,6,45.22,Needs Improvement
77,Dr. Deborah Alexander,41,11.67,59,2.4,5,158,4,8,4,6.0,8,21.27,Needs Improvement
78,Debra Miller,51,11.81,76,3.6,2,291,10,5,4,3.8,10,37.17,Needs Improvement
79,Johnny Lopez,79,9.17,57,2.7,9,217,8,2,9,4.6,8,38.04,Needs Improvement
80,Megan Dillon,95,1.32,91,4.1,9,50,8,9,6,11.1,1,83.69,Excellent
81,Edwin Simmons,85,4.3,75,4.4,5,0,6,7,3,7.9,5,67.19,Average
82,David Smith,49,12.24,75,2.3,3,24,10,6,2,6.7,2,36.84,Needs Improvement
83,Stephen Smith,66,7.33,92,1.1,10,178,6,8,9,7.0,6,34.15,Needs Improvement
84,David Brown MD,65,1.18,70,3.1,0,83,9,1,4,6.1,8,60.38,Average
85,Sara Gonzales,88,5.19,81,1.3,6,210,1,8,3,2.7,3,48.96,Needs Improvement
86,Peter Collins,67,7.74,79,3.2,3,263,7,7,3,5.7,10,35.11,Needs Improvement
87,Jack Quinn,58,10.02,82,1.1,1,7,1,9,7,4.5,7,31.0,Needs Improvement
88,Timothy Rivera,42,13.42,77,2.0,1,290,8,8,4,11.4,6,52.58,Needs Improvement
89,Charlotte Sullivan,60,6.69,97,1.3,9,262,1,7,5,2.3,3,22.55,Needs Improvement
90,Jennifer Kelly,41,13.75,54,2.4,9,194,7,7,4,8.2,6,30.72,Needs Improvement
91,Benjamin Williamson,69,6.08,93,1.9,9,279,1,10,8,11.9,7,52.25,Needs Improvement
92,Emily Bolton,90,8.17,58,3.2,8,200,6,6,4,3.3,2,49.64,Needs Improvement
93,Susan Simmons,62,10.56,55,4.7,4,41,4,9,6,2.7,5,41.87,Needs Improvement
94,Steven Kennedy,62,2.49,71,1.5,8,286,6,8,2,8.0,9,45.36,Needs Improvement
95,Anthony Rodriguez,92,3.46,94,4.4,4,189,10,2,6,9.4,3,82.55,Excellent
96,Troy Johnson,68,6.45,89,2.7,3,112,7,8,3,11.5,7,61.55,Average
97,Michael Brown PhD,86,14.36,71,3.9,0,249,4,4,3,8.0,1,74.86,Average
98,Mr. Matthew Pace,73,9.73,51,1.4,8,295,1,1,9,9.0,8,25.31,Needs Improvement
99,Jasmine Mathews,81,7.44,84,4.3,4,107,3,6,2,3.0,5,40.56,Needs Improvement
100,Katherine Navarro,55,13.22,57,3.6,0,214,5,6,6,11.8,2,60.32,Average
101,Andrea Johnson,64,10.05,75,1.2,9,46,10,7,1,3.8,5,12.1,Needs Improvement
102,Jane Martinez,54,10.76,58,1.8,7,214,2,4,7,6.6,10,15.6,Needs Improvement
103,Meagan Lane,78,1.52,80,2.5,1,130,5,8,10,9.2,7,73.52,Average
104,Jeffrey Castillo,68,10.26,62,3.5,9,107,2,7,3,10.7,7,25.33,Needs Improvement
105,Anna Copeland,52,8.41,81,4.7,10,38,4,1,5,6.8,8,22.36,Needs Improvement
106,Scott Spencer,69,6.85,88,3.1,0,176,3,8,2,5.0,5,49.74,Needs Improvement
107,Dalton Huffman,64,4.88,95,1.2,0,139,10,5,5,2.9,6,55.57,Needs Improvement
108,Anthony Thomas,73,3.34,53,1.9,3,62,6,5,3,7.1,10,40.24,Needs Improvement
109,Brian Garcia,82,3.47,75,1.1,9,258,8,6,5,2.6,7,43.6,Needs Improvement
110,Kevin Bailey,56,3.15,81,2.9,7,88,9,4,5,2.9,9,30.95,Needs Improvement
111,Kevin Anderson,95,4.72,77,2.9,2,225,10,9,8,11.3,2,81.03,Excellent
112,Mary Bowers,47,10.74,97,3.0,5,36,5,1,2,7.0,3,28.45,Needs Improvement
113,Spencer Russell,97,9.0,89,3.7,10,236,1,6,8,10.0,8,47.03,Needs Improvement
114,William Davis,87,10.92,92,2.0,4,169,4,6,7,10.8,10,47.13,Needs Improvement
115,Felicia Morris,96,1.41,72,1.0,10,157,7,2,4,7.6,7,44.48,Needs Improvement
116,Elizabeth Haney,79,4.64,73,4.3,5,73,9,2,5,3.0,4,41.06,Needs Improvement
117,Antonio Sanchez,59,10.63,99,4.8,0,11,6,1,10,6.7,6,52.17,Needs Improvement
118,Scott Bowen,89,14.86,96,4.9,3,250,3,4,7,2.7,1,56.13,Needs Improvement
119,Jeffrey Hobbs,45,6.21,81,4.1,9,25,2,2,4,6.3,9,24.67,Needs Improvement
120,Erika Robinson,68,5.18,81,1.3,3,21,3,1,8,6.3,5,35.92,Needs Improvement
121,Nicole Daniels,86,6.88,69,2.6,8,256,10,6,2,4.1,1,45.36,Needs Improvement
122,James Cobb,54,7.6,76,4.9,8,144,5,8,2,9.6,3,61.62,Average
123,Marc Miller,68,2.84,73,4.7,2,45,9,7,1,8.1,4,63.55,Average
124,Nicole Jones,96,3.25,71,3.3,4,71,1,8,5,2.7,2,53.21,Needs Improvement
125,Mr. Michael Anderson,85,14.65,87,2.2,8,288,6,9,8,9.2,3,50.66,Needs Improvement
126,Michelle Gilmore,96,8.99,64,3.0,5,91,4,1,10,9.8,2,52.93,Needs Improvement
127,Luke Cobb,99,2.01,82,1.4,0,76,4,10,6,5.2,6,73.66,Average
128,Sherry Baker,89,12.5,91,1.7,0,122,6,9,6,8.2,9,56.67,Needs Improvement
129,Benjamin Bray,89,14.09,57,3.9,3,110,7,4,4,8.0,6,56.16,Needs Improvement
130,Andrew Mcintyre,80,3.3,63,1.3,5,11,7,9,3,4.2,7,35.17,Needs Improvement
131,Caroline Dominguez,85,5.72,57,4.5,4,182,3,2,6,9.2,6,60.07,Average
132,Sherry Rivera,98,10.1,59,2.6,5,206,1,7,1,10.7,10,33.33,Needs Improvement
133,Ashley Brown,100,12.85,86,2.4,3,151,2,1,3,7.8,4,45.24,Needs Improvement
134,Keith Brown,75,13.23,83,4.2,6,242,3,10,6,5.6,3,49.21,Needs Improvement
135,Peter Kim,84,7.52,70,3.9,2,281,8,4,7,8.3,2,75.41,Average
136,Catherine Tran,84,7.12,96,3.4,6,83,2,7,6,8.5,9,47.93,Needs Improvement
137,Anna Curry,96,6.59,84,3.6,0,163,7,10,3,6.4,10,76.8,Average
138,Megan Harmon,80,7.03,69,3.4,0,63,6,4,9,8.1,5,59.21,Needs Improvement
139,Antonio Cameron MD,51,7.64,98,3.8,7,155,6,4,2,11.9,9,52.19,Needs Improvement
140,Mary Robinson,68,9.96,84,2.8,4,58,5,1,1,7.8,10,31.35,Needs Improvement
141,Jose Glover,59,14.81,73,3.7,1,216,2,9,7,6.5,2,53.77,Needs Improvement
142,David Montgomery,62,1.42,94,1.6,1,233,7,8,2,3.9,7,47.2,Needs Improvement
143,Sierra Hunt,47,3.19,87,4.5,5,174,2,1,7,11.8,10,54.18,Needs Improvement
144,Andre Newman,88,1.43,57,4.2,3,288,1,3,5,8.7,9,62.89,Average
145,Judy Scott,65,5.88,51,5.0,5,62,9,1,9,11.9,9,53.19,Needs Improvement
146,Richard Reilly,50,13.3,87,2.3,5,18,6,2,2,10.8,7,27.31,Needs Improvement
147,Melissa Rivera,58,13.16,50,1.5,5,88,5,1,10,6.0,5,23.57,Needs Improvement
148,Shaun Gomez III,72,4.33,98,2.8,5,266,3,8,10,9.6,9,52.09,Needs Improvement
149,Cheryl Bass,42,8.59,57,3.1,5,116,10,9,5,6.0,5,40.53,Needs Improvement
150,Eric Martin,82,11.71,55,4.0,10,20,7,7,5,11.0,9,27.43,Needs Improvement
151,Mary Reid,75,13.98,64,1.8,5,274,2,4,5,4.8,3,26.37,Needs Improvement
152,David Brown,69,11.03,98,4.9,9,262,10,7,7,5.0,1,60.46,Average
153,Robert Brooks,81,3.59,85,2.7,5,262,6,1,8,7.3,7,57.74,Needs Improvement
154,Christy Bailey,67,4.19,58,3.6,7,120,10,8,8,5.5,10,55.72,Needs Improvement
155,David Jackson,66,11.93,99,3.9,3,59,7,10,9,3.0,4,50.25,Needs Improvement
156,Jacqueline Tucker,44,3.35,84,4.5,0,118,5,1,6,2.2,3,47.97,Needs Improvement
157,Alice Ortiz,67,3.89,60,1.9,8,253,9,2,3,8.0,2,41.27,Needs Improvement
158,Jessica Mendoza,78,11.14,60,5.0,2,67,10,6,10,11.1,4,60.66,Average
159,Cameron Bush,79,10.03,85,1.8,7,69,9,7,4,6.4,2,42.4,Needs Improvement
160,Raven Young,71,8.56,87,3.4,2,299,10,3,6,8.7,7,65.8,Average
161,Troy Jordan,83,10.27,66,5.0,6,285,4,8,6,7.6,4,60.8,Average
162,Joanna Reed,86,3.81,65,2.6,8,54,1,8,4,6.7,7,40.77,Needs Improvement
163,Rachel Williams,67,14.64,54,3.9,7,120,5,4,6,4.6,8,17.75,Needs Improvement
164,Wanda Willis,55,8.1,83,1.3,3,150,2,2,9,2.9,9,25.01,Needs Improvement
165,Lisa Sullivan,48,8.14,52,2.6,6,153,4,2,7,3.6,6,22.65,Needs Improvement
166,Ariana Simmons,76,6.47,61,4.7,9,165,2,3,8,7.3,6,42.39,Needs Improvement
167,Kristina Ramsey,42,12.06,63,1.3,4,162,2,2,3,5.5,4,21.67,Needs Improvement
168,Martin Craig,41,2.86,82,4.7,0,109,6,4,3,11.5,6,70.89,Average
169,Anthony Smith,64,10.33,83,1.3,1,24,4,4,2,4.8,6,22.42,Needs Improvement
170,Bernard Brady,70,1.86,68,1.8,8,129,2,8,9,6.3,9,43.69,Needs Improvement
171,Lynn Davis,74,2.04,77,2.2,2,262,1,4,4,12.0,1,70.21,Average
172,Kenneth Russell,68,9.73,87,2.7,4,115,3,7,6,10.3,5,49.03,Needs Improvement
173,Elizabeth Oneal,100,11.77,51,1.5,4,245,6,5,10,8.8,8,37.92,Needs Improvement
174,Samantha Rich,60,12.68,94,4.9,1,172,4,1,3,4.7,5,47.43,Needs Improvement
175,Briana Vargas,91,4.72,75,1.5,1,51,2,8,3,5.8,4,51.93,Needs Improvement
176,Matthew Phillips,81,13.49,90,1.4,7,128,2,1,10,11.3,8,37.61,Needs Improvement
177,Melissa Wilson,60,12.55,83,2.5,5,199,1,1,7,7.2,3,31.79,Needs Improvement
178,Jonathan Brooks,47,2.19,92,3.6,2,151,1,5,4,9.4,10,53.72,Needs Improvement
179,William Reese,70,5.15,60,4.9,2,27,3,10,5,7.5,6,55.87,Needs Improvement
180,Jesus Richardson,77,2.16,97,4.9,7,255,8,9,9,5.8,2,84.01,Excellent
181,Ann Hendricks,42,2.7,53,4.1,8,216,10,7,2,5.2,4,54.33,Needs Improvement
182,Elizabeth Conner,70,8.29,81,3.6,10,9,1,8,2,4.2,9,29.86,Needs Improvement
183,Leah Chandler,79,7.05,74,1.7,3,212,3,1,8,11.9,10,50.16,Needs Improvement
184,Diane Mcmahon,88,4.62,96,2.0,4,125,8,8,7,3.8,6,57.87,Needs Improvement
185,Michelle Oconnell,61,14.79,71,3.2,1,257,5,4,2,4.1,3,38.21,Needs Improvement
186,Roger Johnson,61,8.59,82,3.0,5,18,7,7,9,9.6,8,42.36,Needs Improvement
187,Rachel Rodriguez,81,8.81,57,2.0,4,2,1,4,8,3.9,10,13.83,Needs Improvement
188,David Nash,60,11.26,88,3.5,1,111,9,4,4,2.1,10,41.0,Needs Improvement
189,Jeremy Hernandez,97,1.49,66,1.0,8,19,3,7,6,10.8,5,49.51,Needs Improvement
190,Julie Gutierrez,43,11.11,73,1.9,9,292,6,5,6,9.0,5,27.81,Needs Improvement
191,Crystal Ross,49,9.67,53,1.7,3,272,7,7,4,7.1,3,44.54,Needs Improvement
192,James Crawford,94,10.84,73,3.7,1,158,3,1,3,2.6,10,32.17,Needs Improvement
193,Brett Simpson,77,3.94,85,3.1,3,182,1,7,1,2.9,4,54.97,Needs Improvement
194,Jacob Hill,93,10.0,66,3.6,3,239,6,7,9,11.5,5,75.23,Average
195,Katrina Hill,96,8.92,59,2.3,10,112,6,6,1,11.3,3,51.12,Needs Improvement
196,Jeffrey Dixon,68,7.46,69,4.2,9,191,5,4,6,8.3,7,41.9,Needs Improvement
197,Robert Jacobs,78,7.95,50,4.1,3,296,6,9,4,8.6,4,61.27,Average
198,Jason Alvarado,53,4.49,65,2.5,9,216,6,9,4,2.3,4,29.55,Needs Improvement
199,Dana Brown,57,13.69,70,3.1,0,6,6,2,8,7.5,8,38.83,Needs Improvement
200,Steven Hudson,81,12.59,63,3.9,9,20,2,5,3,9.3,5,32.32,Needs Improvement
201,Daniel Gonzales,63,5.74,100,4.9,8,160,2,5,4,6.2,9,44.98,Needs Improvement
202,Kelly Brown,56,14.73,83,2.6,10,168,7,6,1,7.4,6,29.55,Needs Improvement
203,Mr. Elijah Ayala,85,7.42,50,2.7,4,1,6,9,2,3.0,3,43.55,Needs Improvement
204,Sara Wolfe,63,12.02,87,4.2,9,98,3,1,7,10.7,10,41.37,Needs Improvement
205,James Kerr,43,11.59,71,1.1,7,212,6,4,9,7.6,10,28.87,Needs Improvement
206,Emma Arnold,95,7.5,57,2.1,9,226,6,7,4,6.5,2,56.93,Needs Improvement
207,Anne Diaz,82,11.86,100,1.8,9,7,8,9,4,4.8,8,26.51,Needs Improvement
208,Traci Crosby,87,13.56,67,1.6,3,267,2,7,3,5.6,2,49.22,Needs Improvement
209,Destiny Brown,82,14.77,82,3.4,6,7,5,5,4,10.0,6,35.28,Needs Improvement
210,Colin Ford,40,6.85,70,3.9,1,259,6,10,7,3.3,5,60.27,Average
211,Sarah Greene,64,2.3,53,3.9,1,153,5,3,9,10.2,2,73.18,Average
212,Justin Rangel,96,7.6,96,3.6,8,212,8,2,6,10.3,10,53.72,Needs Improvement
213,Tammy Martin,87,10.97,75,1.4,4,162,4,2,9,9.4,2,53.41,Needs Improvement
214,Larry Herrera,87,9.08,66,4.4,10,270,3,1,4,9.4,2,56.02,Needs Improvement
215,Christina Thomas,41,5.41,77,3.7,5,200,4,1,8,2.7,3,39.53,Needs Improvement
216,Michael Barry,77,6.05,70,1.1,4,141,4,1,7,10.1,2,60.67,Average
217,Kevin Harrison,90,13.7,76,3.2,10,45,6,4,5,7.5,3,40.99,Needs Improvement
218,Randall Clements,98,6.92,74,2.7,9,101,7,6,9,4.9,3,46.0,Needs Improvement
219,Cody Jefferson MD,42,11.56,58,4.4,6,205,9,7,9,4.8,4,42.99,Needs Improvement
